OrderNumber,Channel,Procured Date,OrderDate,Ship Date,Delivery Date,Warehouse Index,Customer Index,Region Index,Product Index,Order Quantity,Unit Price,Unit Cost
SO - 0002510,Wholesale,10/27/2018,3/8/2019,3/19/2019,3/23/2019,1,34,2,7,8,3008.3,1263.486
SO - 0002511,Wholesale,10/27/2018,3/9/2019,3/15/2019,3/16/2019,2,28,12,7,7,1165.8,827.718
SO - 0002512,Distributor,10/27/2018,3/9/2019,3/15/2019,3/18/2019,3,22,8,7,5,1031.8,412.72
SO - 0002513,Export,10/27/2018,3/9/2019,4/5/2019,4/9/2019,2,21,9,1,8,1882.7,1016.658
SO - 0002514,Wholesale,10/27/2018,3/9/2019,3/23/2019,3/31/2019,2,1,4,13,12,1018.4,743.432
SO - 0002515,Distributor,10/27/2018,3/9/2019,3/13/2019,3/19/2019,1,14,39,1,8,3832.4,3027.596
SO - 0002516,Wholesale,10/27/2018,3/9/2019,4/5/2019,4/12/2019,3,17,2,14,9,5299.7,2172.877
SO - 0002517,Export,10/27/2018,3/9/2019,3/30/2019,4/8/2019,6,39,68,1,7,3839.1,2917.716
SO - 0002518,Distributor,10/27/2018,3/10/2019,3/19/2019,3/25/2019,4,48,59,7,7,991.6,763.532
SO - 0002519,Distributor,10/27/2018,3/10/2019,3/13/2019,3/23/2019,2,31,13,1,9,234.5,136.01
SO - 0002520,Wholesale,10/27/2018,3/10/2019,3/14/2019,3/18/2019,2,48,9,7,6,1098.8,604.34
SO - 0002521,Wholesale,10/27/2018,3/10/2019,3/16/2019,3/26/2019,6,5,43,3,10,221.1,117.183
SO - 0002522,Wholesale,10/27/2018,3/10/2019,3/25/2019,4/2/2019,3,33,79,11,12,207.7,110.081
SO - 0002523,Export,10/27/2018,3/11/2019,4/6/2019,4/14/2019,4,37,19,2,5,3999.9,1639.959
SO - 0002524,Wholesale,10/27/2018,3/11/2019,3/23/2019,4/1/2019,2,13,43,7,9,2552.7,1455.039
SO - 0002525,Wholesale,10/27/2018,3/11/2019,4/3/2019,4/13/2019,3,30,65,13,5,3966.4,2816.144
SO - 0002526,Wholesale,2/4/2019,3/11/2019,3/15/2019,3/22/2019,4,17,45,6,5,1118.9,850.364
SO - 0002527,Wholesale,10/27/2018,3/11/2019,4/8/2019,4/12/2019,2,23,58,1,5,1145.7,905.103
SO - 0002528,Distributor,10/27/2018,3/11/2019,3/30/2019,4/2/2019,1,50,18,11,5,2606.3,1407.402
SO - 0002529,Wholesale,10/27/2018,3/11/2019,3/13/2019,3/20/2019,3,49,29,7,7,2820.7,2228.353
SO - 0002530,Distributor,10/27/2018,3/11/2019,3/27/2019,3/30/2019,2,31,5,6,6,1755.4,1228.78
SO - 0002531,Wholesale,10/27/2018,3/11/2019,3/29/2019,4/3/2019,2,27,19,1,7,1139,706.18
SO - 0002532,Distributor,10/27/2018,3/11/2019,3/15/2019,3/16/2019,6,8,68,5,5,5152.3,4173.363
SO - 0002533,Distributor,10/27/2018,3/11/2019,4/5/2019,4/12/2019,2,19,69,1,11,3832.4,3027.596
SO - 0002534,Wholesale,10/27/2018,3/12/2019,4/4/2019,4/11/2019,3,48,20,7,7,1815.7,1325.461
SO - 0002535,Wholesale,10/27/2018,3/12/2019,3/17/2019,3/22/2019,2,9,8,5,7,5360,2840.8
SO - 0002536,Wholesale,10/27/2018,3/13/2019,4/2/2019,4/4/2019,4,30,33,13,12,1118.9,783.23
SO - 0002537,Wholesale,10/27/2018,3/13/2019,3/19/2019,3/22/2019,5,18,2,13,10,3577.8,2003.568
SO - 0002538,Distributor,2/4/2019,3/13/2019,4/5/2019,4/12/2019,2,23,78,11,11,3832.4,1686.256
SO - 0002539,Wholesale,10/27/2018,3/13/2019,4/9/2019,4/12/2019,3,30,1,12,10,1112.2,867.516
SO - 0002540,Wholesale,10/27/2018,3/13/2019,3/21/2019,3/26/2019,2,42,36,11,9,3852.5,2272.975
SO - 0002541,Wholesale,10/27/2018,3/13/2019,3/15/2019,3/23/2019,6,14,6,11,11,180.9,92.259
SO - 0002542,Wholesale,10/27/2018,3/14/2019,3/17/2019,3/22/2019,1,44,67,7,5,5594.5,2629.415
SO - 0002543,Export,10/27/2018,3/14/2019,3/21/2019,3/25/2019,5,5,63,11,9,3644.8,2587.808
SO - 0002544,Wholesale,10/27/2018,3/14/2019,3/26/2019,3/29/2019,3,19,61,2,6,1239.5,1028.785
SO - 0002545,Wholesale,10/27/2018,3/14/2019,4/7/2019,4/15/2019,3,42,20,2,12,690.1,441.664
SO - 0002546,Distributor,10/27/2018,3/14/2019,3/27/2019,4/2/2019,2,44,59,9,11,837.5,703.5
SO - 0002547,Wholesale,10/27/2018,3/14/2019,3/17/2019,3/26/2019,1,10,8,11,11,2458.9,1549.107
SO - 0002548,Export,2/4/2019,3/14/2019,3/21/2019,3/25/2019,1,46,4,2,11,1922.9,1576.778
SO - 0002549,Wholesale,10/27/2018,3/14/2019,3/19/2019,3/20/2019,1,48,18,13,10,3872.6,2323.56
SO - 0002550,Export,10/27/2018,3/14/2019,4/2/2019,4/5/2019,2,31,38,9,10,1715.2,1337.856
SO - 0002551,Export,10/27/2018,3/15/2019,3/23/2019,3/28/2019,4,6,83,11,11,3859.2,1929.6
SO - 0002552,Wholesale,10/27/2018,3/15/2019,3/20/2019,3/29/2019,3,5,24,2,6,3892.7,1829.569
SO - 0002553,Export,10/27/2018,3/15/2019,3/30/2019,4/5/2019,3,39,8,7,9,1085.4,890.028
SO - 0002554,Wholesale,10/27/2018,3/15/2019,3/29/2019,4/8/2019,2,18,80,2,8,931.3,409.772
SO - 0002555,Wholesale,10/27/2018,3/15/2019,3/28/2019,4/6/2019,2,26,12,13,12,1145.7,733.248
SO - 0002556,Wholesale,10/27/2018,3/15/2019,3/20/2019,3/21/2019,3,17,82,2,11,2405.3,986.173
SO - 0002557,Distributor,10/27/2018,3/15/2019,3/20/2019,3/22/2019,4,4,28,10,8,4006.6,1843.036
SO - 0002558,Wholesale,10/27/2018,3/15/2019,3/17/2019,3/22/2019,5,32,52,2,7,201,106.53
SO - 0002559,Wholesale,10/27/2018,3/15/2019,3/17/2019,3/25/2019,3,17,85,2,7,227.8,170.85
SO - 0002560,Wholesale,2/4/2019,3/15/2019,3/17/2019,3/22/2019,1,1,60,11,9,3845.8,1845.984
SO - 0002561,Wholesale,10/27/2018,3/15/2019,3/29/2019,4/6/2019,2,39,72,11,9,3825.7,2295.42
SO - 0002562,Distributor,2/4/2019,3/16/2019,4/7/2019,4/8/2019,2,24,20,5,7,4013.3,2287.581
SO - 0002563,Wholesale,10/27/2018,3/16/2019,3/24/2019,3/26/2019,2,7,50,9,12,261.3,201.201
SO - 0002564,Wholesale,10/27/2018,3/16/2019,4/1/2019,4/3/2019,4,43,62,7,12,167.5,103.85
SO - 0002565,Distributor,10/27/2018,3/16/2019,4/10/2019,4/18/2019,2,42,9,7,5,1125.6,709.128
SO - 0002566,Export,10/27/2018,3/16/2019,4/7/2019,4/17/2019,2,45,10,6,9,3819,2176.83
SO - 0002567,Distributor,10/27/2018,3/16/2019,4/7/2019,4/11/2019,3,23,31,2,5,5453.8,3163.204
SO - 0002568,Export,10/27/2018,3/16/2019,4/5/2019,4/11/2019,5,27,25,6,6,2291.4,1191.528
SO - 0002569,Wholesale,10/27/2018,3/16/2019,4/2/2019,4/11/2019,1,13,35,13,11,1762.1,1321.575
SO - 0002570,Distributor,2/4/2019,3/17/2019,4/8/2019,4/12/2019,5,32,1,11,8,911.2,428.264
SO - 0002571,Export,10/27/2018,3/17/2019,4/2/2019,4/12/2019,4,27,52,12,8,2311.5,1641.165
SO - 0002572,Wholesale,2/4/2019,3/17/2019,3/20/2019,3/24/2019,1,29,53,11,8,6210.9,4471.848
SO - 0002573,Distributor,10/27/2018,3/17/2019,4/8/2019,4/17/2019,3,22,8,7,7,5306.4,4351.248
SO - 0002574,Distributor,10/27/2018,3/17/2019,4/3/2019,4/7/2019,2,14,43,2,9,2740.3,1863.404
SO - 0002575,Export,10/27/2018,3/17/2019,4/4/2019,4/5/2019,1,15,22,11,6,1118.9,906.309
SO - 0002576,Wholesale,2/4/2019,3/17/2019,3/31/2019,4/3/2019,2,29,17,13,12,1098.8,725.208
SO - 0002577,Wholesale,10/27/2018,3/18/2019,3/29/2019,4/6/2019,2,41,50,7,8,958.1,795.223
SO - 0002578,Wholesale,10/27/2018,3/18/2019,4/6/2019,4/7/2019,5,18,81,1,11,6217.6,4911.904
SO - 0002579,Distributor,2/4/2019,3/18/2019,4/3/2019,4/6/2019,5,28,13,13,11,917.9,559.919
SO - 0002580,Wholesale,10/27/2018,3/18/2019,4/6/2019,4/13/2019,1,22,22,13,7,1132.3,554.827
SO - 0002581,Wholesale,10/27/2018,3/18/2019,3/21/2019,3/24/2019,2,30,55,2,5,1695.1,830.599
SO - 0002582,Wholesale,10/27/2018,3/18/2019,4/8/2019,4/18/2019,4,4,39,13,9,998.3,798.64
SO - 0002583,Export,10/27/2018,3/18/2019,4/12/2019,4/14/2019,2,20,10,7,10,1701.8,867.918
SO - 0002584,Distributor,10/27/2018,3/18/2019,3/29/2019,3/30/2019,5,9,38,9,11,1025.1,707.319
SO - 0002585,Export,2/4/2019,3/18/2019,3/30/2019,4/9/2019,6,46,11,9,9,261.3,203.814
SO - 0002586,Wholesale,10/27/2018,3/18/2019,4/3/2019,4/13/2019,1,45,22,5,12,1092.1,611.576
SO - 0002587,Export,10/27/2018,3/19/2019,4/12/2019,4/17/2019,2,48,17,13,12,268,227.8
SO - 0002588,Wholesale,10/27/2018,3/19/2019,4/14/2019,4/23/2019,2,34,10,7,8,2271.3,1067.511
SO - 0002589,Wholesale,10/27/2018,3/19/2019,3/25/2019,4/4/2019,1,4,27,5,7,723.6,405.216
SO - 0002590,Distributor,10/27/2018,3/19/2019,4/12/2019,4/19/2019,3,32,6,1,5,5634.7,4169.678
SO - 0002591,Distributor,10/27/2018,3/19/2019,4/1/2019,4/5/2019,2,18,24,2,7,1715.2,788.992
SO - 0002592,Wholesale,2/4/2019,3/19/2019,4/16/2019,4/18/2019,3,47,9,3,12,944.7,774.654
SO - 0002593,Wholesale,2/4/2019,3/19/2019,3/28/2019,4/6/2019,4,11,25,11,7,2391.9,1626.492
SO - 0002594,Wholesale,10/27/2018,3/19/2019,4/2/2019,4/9/2019,2,36,8,8,8,1701.8,1140.206
SO - 0002595,Wholesale,10/27/2018,3/20/2019,4/4/2019,4/9/2019,3,44,31,5,11,3470.6,2845.892
SO - 0002596,Wholesale,10/27/2018,3/20/2019,4/1/2019,4/11/2019,3,19,47,7,11,844.2,692.244
SO - 0002597,Wholesale,10/27/2018,3/20/2019,3/30/2019,3/31/2019,6,5,9,8,12,1326.6,1074.546
SO - 0002598,Export,2/4/2019,3/20/2019,4/3/2019,4/4/2019,5,34,16,7,8,4006.6,1762.904
SO - 0002599,Wholesale,10/27/2018,3/21/2019,4/17/2019,4/24/2019,5,23,4,5,5,1045.2,637.572
SO - 0002600,Distributor,2/4/2019,3/21/2019,4/3/2019,4/8/2019,1,28,1,7,11,2653.2,1326.6
SO - 0002601,Wholesale,10/27/2018,3/21/2019,4/18/2019,4/27/2019,4,9,16,9,12,6137.2,3375.46
SO - 0002602,Wholesale,2/4/2019,3/21/2019,4/18/2019,4/27/2019,4,48,16,5,7,3785.5,1514.2
SO - 0002603,Distributor,10/27/2018,3/21/2019,3/27/2019,4/1/2019,3,17,21,4,9,3557.7,2170.197
SO - 0002604,Wholesale,10/27/2018,3/22/2019,3/31/2019,4/4/2019,2,48,2,3,11,5688.3,3356.097
SO - 0002605,Distributor,10/27/2018,3/22/2019,4/5/2019,4/15/2019,2,47,77,1,9,247.9,153.698
SO - 0002606,Distributor,2/4/2019,3/22/2019,4/8/2019,4/10/2019,2,44,2,12,5,187.6,125.692
SO - 0002607,Wholesale,10/27/2018,3/22/2019,4/13/2019,4/15/2019,4,5,6,4,12,1728.6,1331.022
SO - 0002608,Export,10/27/2018,3/22/2019,3/27/2019,4/6/2019,1,14,19,13,11,1333.3,706.649
SO - 0002609,Wholesale,10/27/2018,3/22/2019,3/27/2019,3/28/2019,2,25,14,9,11,857.6,471.68
SO - 0002610,Wholesale,10/27/2018,3/23/2019,4/17/2019,4/22/2019,4,49,75,5,10,1788.9,751.338
SO - 0002611,Wholesale,10/27/2018,3/23/2019,4/1/2019,4/11/2019,3,39,51,2,8,1246.2,922.188
SO - 0002612,Export,10/27/2018,3/23/2019,4/3/2019,4/8/2019,2,33,8,3,7,1139,854.25
SO - 0002613,Distributor,10/27/2018,3/23/2019,4/1/2019,4/8/2019,4,20,75,5,8,2566.1,1385.694
SO - 0002614,Wholesale,10/27/2018,3/23/2019,4/3/2019,4/13/2019,3,21,24,11,7,1112.2,489.368
SO - 0002615,Wholesale,10/27/2018,3/23/2019,4/7/2019,4/12/2019,3,17,44,13,8,1025.1,871.335
SO - 0002616,Distributor,2/4/2019,3/23/2019,4/15/2019,4/20/2019,3,23,45,13,9,187.6,91.924
SO - 0002617,Distributor,2/4/2019,3/23/2019,3/29/2019,4/8/2019,2,34,69,2,7,6264.5,4698.375
SO - 0002618,Distributor,10/27/2018,3/23/2019,3/30/2019,3/31/2019,2,43,21,1,6,174.2,125.424
SO - 0002619,Wholesale,10/27/2018,3/23/2019,4/14/2019,4/17/2019,2,24,20,13,7,3825.7,2180.649
SO - 0002620,Wholesale,2/4/2019,3/23/2019,4/10/2019,4/18/2019,1,2,61,3,10,1025.1,738.072
SO - 0002621,Distributor,10/27/2018,3/24/2019,4/19/2019,4/20/2019,2,12,84,7,6,978.2,665.176
SO - 0002622,Wholesale,10/27/2018,3/24/2019,4/1/2019,4/2/2019,1,19,40,2,8,5319.8,2766.296
SO - 0002623,Export,10/27/2018,3/24/2019,3/29/2019,4/2/2019,2,20,52,7,9,1869.3,1177.659
SO - 0002624,Distributor,10/27/2018,3/24/2019,4/20/2019,4/30/2019,2,50,18,2,10,1085.4,911.736
SO - 0002625,Export,2/4/2019,3/24/2019,4/9/2019,4/19/2019,2,22,23,5,6,1072,503.84
SO - 0002626,Wholesale,2/4/2019,3/24/2019,3/29/2019,3/30/2019,1,42,75,13,7,261.3,216.879
SO - 0002627,Wholesale,10/27/2018,3/24/2019,4/18/2019,4/26/2019,3,8,57,1,11,3912.8,3091.112
SO - 0002628,Export,2/4/2019,3/24/2019,4/16/2019,4/18/2019,2,25,61,1,7,2673.3,1176.252
SO - 0002629,Wholesale,10/27/2018,3/24/2019,3/30/2019,4/2/2019,2,41,2,7,9,1045.2,553.956
SO - 0002630,Wholesale,2/4/2019,3/24/2019,4/1/2019,4/5/2019,2,16,83,7,6,2412,1061.28
SO - 0002631,Distributor,10/27/2018,3/25/2019,4/1/2019,4/5/2019,1,4,8,7,12,1018.4,417.544
SO - 0002632,Wholesale,10/27/2018,3/25/2019,4/2/2019,4/7/2019,4,46,65,7,7,2257.9,1896.636
SO - 0002633,Wholesale,10/27/2018,3/25/2019,4/18/2019,4/28/2019,2,15,34,5,10,2907.8,2297.162
SO - 0002634,Wholesale,10/27/2018,3/25/2019,3/29/2019,3/31/2019,6,46,3,11,7,1125.6,585.312
SO - 0002635,Wholesale,10/27/2018,3/25/2019,3/28/2019,4/6/2019,5,21,22,5,12,1072,525.28
SO - 0002636,Wholesale,10/27/2018,3/25/2019,4/6/2019,4/15/2019,5,38,44,2,9,1809,1139.67
SO - 0002637,Wholesale,2/4/2019,3/25/2019,4/13/2019,4/15/2019,5,22,37,1,10,1025.1,533.052
SO - 0002638,Wholesale,10/27/2018,3/26/2019,4/14/2019,4/23/2019,1,38,76,11,11,3953,1976.5
SO - 0002639,Wholesale,10/27/2018,3/26/2019,4/16/2019,4/21/2019,4,19,21,1,6,2371.8,2016.03
SO - 0002640,Distributor,10/27/2018,3/26/2019,4/20/2019,4/30/2019,1,39,23,13,7,2358.4,1462.208
SO - 0002641,Wholesale,2/4/2019,3/26/2019,4/12/2019,4/21/2019,2,2,39,7,10,2613,1620.06
SO - 0002642,Distributor,2/4/2019,3/26/2019,3/28/2019,4/3/2019,5,13,44,1,6,904.5,452.25
SO - 0002643,Wholesale,10/27/2018,3/26/2019,4/23/2019,4/24/2019,6,12,63,1,11,1025.1,584.307
SO - 0002644,Distributor,10/27/2018,3/26/2019,3/31/2019,4/7/2019,1,18,36,9,9,3852.5,2504.125
SO - 0002645,Wholesale,10/27/2018,3/26/2019,4/8/2019,4/18/2019,3,48,51,12,7,227.8,95.676
SO - 0002646,Wholesale,2/4/2019,3/26/2019,3/29/2019,4/1/2019,2,32,15,10,11,2345,1618.05
SO - 0002647,Distributor,2/4/2019,3/26/2019,3/29/2019,4/3/2019,4,44,44,7,12,1969.8,787.92
SO - 0002648,Wholesale,10/27/2018,3/27/2019,4/1/2019,4/2/2019,1,11,15,1,11,2586.2,1293.1
SO - 0002649,Distributor,2/4/2019,3/27/2019,4/16/2019,4/21/2019,2,10,12,8,11,5748.6,3736.59
SO - 0002650,Distributor,2/4/2019,3/27/2019,4/14/2019,4/16/2019,2,36,7,11,10,221.1,170.247
SO - 0002651,Distributor,2/4/2019,3/27/2019,4/14/2019,4/18/2019,6,24,10,12,12,3832.4,2835.976
SO - 0002652,Wholesale,2/4/2019,3/27/2019,4/23/2019,4/28/2019,5,11,75,2,6,6411.9,4167.735
SO - 0002653,Wholesale,2/4/2019,3/28/2019,3/30/2019,4/6/2019,2,12,1,1,5,1031.8,515.9
SO - 0002654,Export,2/4/2019,3/29/2019,4/21/2019,5/1/2019,5,45,28,12,10,3819,1603.98
SO - 0002655,Wholesale,2/4/2019,3/29/2019,4/11/2019,4/20/2019,5,19,15,7,10,1728.6,985.302
SO - 0002656,Wholesale,10/27/2018,3/29/2019,4/3/2019,4/13/2019,3,25,47,7,6,2291.4,1649.808
SO - 0002657,Wholesale,10/27/2018,3/29/2019,4/3/2019,4/11/2019,4,30,11,7,5,4006.6,3205.28
SO - 0002658,Distributor,10/27/2018,3/29/2019,4/9/2019,4/15/2019,2,20,14,2,9,3946.3,1736.372
SO - 0002659,Distributor,2/4/2019,3/29/2019,4/9/2019,4/15/2019,2,20,7,8,12,5896,4127.2
SO - 0002660,Wholesale,2/4/2019,3/30/2019,4/24/2019,5/1/2019,5,50,8,7,10,2425.4,2013.082
SO - 0002661,Wholesale,2/4/2019,3/30/2019,4/23/2019,4/25/2019,3,33,24,2,7,1145.7,962.388
SO - 0002662,Wholesale,10/27/2018,3/30/2019,4/4/2019,4/13/2019,1,44,16,1,12,3604.6,2234.852
SO - 0002663,Wholesale,2/4/2019,3/30/2019,4/2/2019,4/8/2019,2,13,85,4,5,1031.8,701.624
SO - 0002664,Distributor,10/27/2018,3/30/2019,4/3/2019,4/10/2019,2,46,54,2,5,2633.1,2106.48
SO - 0002665,Distributor,2/4/2019,3/30/2019,4/5/2019,4/12/2019,2,39,42,5,5,2954.7,1300.068
SO - 0002666,Wholesale,2/4/2019,3/30/2019,4/20/2019,4/30/2019,2,4,53,11,11,1051.9,715.292
SO - 0002667,Wholesale,10/27/2018,3/30/2019,4/13/2019,4/18/2019,1,9,51,5,9,864.3,726.012
SO - 0002668,Distributor,10/27/2018,3/31/2019,4/22/2019,5/1/2019,3,37,7,1,10,1996.6,1557.348
SO - 0002669,Distributor,10/27/2018,3/31/2019,4/20/2019,4/22/2019,2,30,19,2,7,3953,2529.92
SO - 0002670,Wholesale,10/27/2018,3/31/2019,4/17/2019,4/18/2019,4,46,7,7,12,3959.7,2811.387
SO - 0002671,Export,2/4/2019,3/31/2019,4/4/2019,4/6/2019,6,2,35,9,8,234.5,194.635
SO - 0002672,Export,10/27/2018,3/31/2019,4/15/2019,4/17/2019,2,17,13,3,10,2211,1503.48
SO - 0002673,Distributor,10/27/2018,3/31/2019,4/5/2019,4/15/2019,2,30,17,7,12,1172.5,562.8
SO - 0002674,Distributor,10/27/2018,3/31/2019,4/7/2019,4/13/2019,5,37,17,11,11,227.8,91.12
SO - 0002675,Wholesale,10/27/2018,4/1/2019,4/10/2019,4/15/2019,2,18,34,11,11,1795.6,1023.492
SO - 0002676,Distributor,10/27/2018,4/1/2019,4/18/2019,4/27/2019,3,17,21,1,12,1922.9,1134.511
SO - 0002677,Wholesale,10/27/2018,4/1/2019,4/29/2019,5/5/2019,4,49,5,7,12,2572.8,1878.144
SO - 0002678,Export,10/27/2018,4/1/2019,4/26/2019,5/1/2019,2,39,83,5,8,830.8,581.56
SO - 0002679,Distributor,2/4/2019,4/1/2019,4/24/2019,4/28/2019,3,46,41,13,8,924.6,711.942
SO - 0002680,Distributor,10/27/2018,4/1/2019,4/29/2019,5/1/2019,2,38,6,11,5,5266.2,2369.79
SO - 0002681,Distributor,10/27/2018,4/1/2019,4/6/2019,4/16/2019,4,33,74,11,10,3852.5,3197.575
SO - 0002682,Distributor,2/4/2019,4/1/2019,4/20/2019,4/25/2019,5,3,21,11,6,951.4,513.756
SO - 0002683,Export,10/27/2018,4/1/2019,4/17/2019,4/26/2019,2,18,22,2,12,2914.5,1311.525
SO - 0002684,Wholesale,2/4/2019,4/1/2019,4/18/2019,4/23/2019,5,48,68,7,5,2418.7,1620.529
SO - 0002685,Distributor,10/27/2018,4/2/2019,4/16/2019,4/23/2019,2,36,54,3,9,2539.3,1523.58
SO - 0002686,Distributor,10/27/2018,4/2/2019,4/15/2019,4/17/2019,3,10,19,1,11,2251.2,1148.112
SO - 0002687,Export,10/27/2018,4/2/2019,4/25/2019,4/29/2019,2,10,42,1,6,5246.1,2780.433
SO - 0002688,Distributor,10/27/2018,4/2/2019,4/23/2019,4/27/2019,3,36,78,7,12,924.6,591.744
SO - 0002689,Distributor,2/4/2019,4/2/2019,4/7/2019,4/14/2019,2,42,86,7,9,1031.8,650.034
SO - 0002690,Wholesale,2/4/2019,4/2/2019,4/25/2019,4/28/2019,3,46,40,9,10,1855.9,1317.689
SO - 0002691,Distributor,2/4/2019,4/2/2019,4/5/2019,4/7/2019,4,1,64,7,7,1031.8,588.126
SO - 0002692,Wholesale,2/4/2019,4/2/2019,4/11/2019,4/17/2019,2,32,60,13,10,1293.1,724.136
SO - 0002693,Wholesale,10/27/2018,4/3/2019,4/10/2019,4/15/2019,6,13,34,5,8,1038.5,508.865
SO - 0002694,Wholesale,10/27/2018,4/3/2019,4/6/2019,4/10/2019,2,18,18,7,11,1728.6,1037.16
SO - 0002695,Wholesale,2/4/2019,4/3/2019,4/9/2019,4/15/2019,5,43,34,13,5,234.5,173.53
SO - 0002696,Export,10/27/2018,4/3/2019,4/19/2019,4/24/2019,1,41,72,2,8,3953,2253.21
SO - 0002697,Wholesale,2/4/2019,4/3/2019,4/9/2019,4/16/2019,3,38,19,1,10,710.2,553.956
SO - 0002698,Distributor,2/4/2019,4/4/2019,4/8/2019,4/13/2019,6,48,35,1,10,1762.1,1286.333
SO - 0002699,Distributor,10/27/2018,4/4/2019,4/12/2019,4/21/2019,6,2,47,2,9,1829.1,1335.243
SO - 0002700,Export,2/4/2019,4/4/2019,4/18/2019,4/27/2019,3,36,5,1,12,2345,1289.75
SO - 0002701,Export,10/27/2018,4/4/2019,4/23/2019,4/27/2019,2,3,45,1,7,5755.3,3683.392
SO - 0002702,Wholesale,10/27/2018,4/4/2019,5/1/2019,5/6/2019,6,20,23,1,10,1092.1,491.445
SO - 0002703,Wholesale,2/4/2019,4/4/2019,4/14/2019,4/19/2019,6,50,18,13,8,2854.2,1427.1
SO - 0002704,Wholesale,2/4/2019,4/4/2019,4/11/2019,4/21/2019,3,14,10,13,8,1031.8,423.038
SO - 0002705,Wholesale,2/4/2019,4/4/2019,5/1/2019,5/9/2019,2,17,11,14,7,1112.2,544.978
SO - 0002706,Wholesale,10/27/2018,4/4/2019,4/15/2019,4/20/2019,2,47,60,13,7,3731.9,1604.717
SO - 0002707,Wholesale,2/4/2019,4/4/2019,4/27/2019,5/6/2019,1,28,1,1,9,2572.8,1955.328
SO - 0002708,Export,2/4/2019,4/4/2019,4/9/2019,4/11/2019,2,18,15,11,8,261.3,143.715
SO - 0002709,Distributor,10/27/2018,4/4/2019,4/20/2019,4/28/2019,2,4,4,2,10,227.8,152.626
SO - 0002710,Wholesale,10/27/2018,4/4/2019,4/12/2019,4/13/2019,5,44,81,1,7,1983.2,1110.592
SO - 0002711,Export,10/27/2018,4/4/2019,4/21/2019,5/1/2019,1,17,2,1,9,268,219.76
SO - 0002712,Export,2/4/2019,4/4/2019,4/8/2019,4/11/2019,3,18,12,7,10,3932.9,2123.766
SO - 0002713,Wholesale,2/4/2019,4/4/2019,4/13/2019,4/21/2019,2,11,15,13,11,2291.4,1672.722
SO - 0002714,Export,2/4/2019,4/4/2019,4/13/2019,4/16/2019,5,18,7,7,7,6197.5,5019.975
SO - 0002715,Wholesale,2/4/2019,4/4/2019,5/1/2019,5/5/2019,3,27,33,11,6,3839.1,2495.415
SO - 0002716,Distributor,10/27/2018,4/5/2019,4/7/2019,4/12/2019,4,5,76,1,5,1058.6,793.95
SO - 0002717,Distributor,2/4/2019,4/5/2019,4/17/2019,4/18/2019,6,17,9,1,9,877.7,579.282
SO - 0002718,Wholesale,2/4/2019,4/5/2019,4/17/2019,4/19/2019,3,18,84,6,6,6083.6,5171.06
SO - 0002719,Distributor,10/27/2018,4/5/2019,4/14/2019,4/19/2019,1,39,65,5,9,3979.8,3024.648
SO - 0002720,Distributor,2/4/2019,4/5/2019,4/25/2019,4/26/2019,5,47,33,5,6,3906.1,3163.941
SO - 0002721,Wholesale,10/27/2018,4/5/2019,4/15/2019,4/24/2019,4,17,21,14,10,6311.4,4986.006
SO - 0002722,Export,10/27/2018,4/5/2019,4/14/2019,4/22/2019,2,47,34,2,9,2619.7,1493.229
SO - 0002723,Distributor,2/4/2019,4/5/2019,4/29/2019,5/8/2019,1,20,19,5,11,3490.7,1396.28
SO - 0002724,Wholesale,10/27/2018,4/6/2019,4/14/2019,4/22/2019,3,12,9,1,5,234.5,117.25
SO - 0002725,Wholesale,2/4/2019,4/6/2019,4/16/2019,4/22/2019,2,15,76,5,6,1125.6,585.312
SO - 0002726,Wholesale,2/4/2019,4/6/2019,4/11/2019,4/17/2019,2,41,28,2,12,2633.1,1211.226
SO - 0002727,Export,10/27/2018,4/6/2019,4/19/2019,4/22/2019,5,42,17,11,9,1005,854.25
SO - 0002728,Distributor,10/27/2018,4/6/2019,5/3/2019,5/6/2019,3,47,6,11,11,1112.2,878.638
SO - 0002729,Distributor,10/27/2018,4/6/2019,4/24/2019,5/4/2019,5,21,3,13,8,2525.9,1995.461
SO - 0002730,Wholesale,10/27/2018,4/6/2019,4/24/2019,5/2/2019,3,4,3,5,8,187.6,91.924
SO - 0002731,Distributor,2/4/2019,4/6/2019,4/30/2019,5/5/2019,1,20,22,2,12,1996.6,1317.756
SO - 0002732,Distributor,2/4/2019,4/6/2019,4/20/2019,4/30/2019,4,23,85,13,8,2546,2062.26
SO - 0002733,Wholesale,10/27/2018,4/6/2019,4/10/2019,4/15/2019,2,25,24,5,7,1125.6,754.152
SO - 0002734,Wholesale,10/27/2018,4/6/2019,4/27/2019,5/3/2019,5,11,53,1,5,2539.3,1828.296
SO - 0002735,Export,10/27/2018,4/7/2019,4/27/2019,4/29/2019,1,8,60,5,9,2318.2,1275.01
SO - 0002736,Wholesale,10/27/2018,4/7/2019,4/30/2019,5/5/2019,6,43,69,2,5,3999.9,1919.952
SO - 0002737,Wholesale,2/4/2019,4/7/2019,5/3/2019,5/10/2019,6,20,24,7,10,1232.8,678.04
SO - 0002738,Distributor,2/4/2019,4/7/2019,5/1/2019,5/11/2019,3,20,4,7,6,864.3,371.649
SO - 0002739,Distributor,2/4/2019,4/7/2019,4/15/2019,4/16/2019,3,11,76,1,12,3356.7,2316.123
